ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,36,C:\Program Files (x86)\Mozilla Maintenance Service\update\updater.exe,2023-07-06 23:10:21+00:00,Yes,False,win7_files\SYSTEM
1,1,C:\Program Files\Mozilla Firefox\private_browsing.exe,2023-07-06 23:10:21+00:00,No,False,win7_files\SYSTEM
1,38,C:\Program Files\Mozilla Firefox\updater.exe,2023-07-06 23:10:21+00:00,Yes,False,win7_files\SYSTEM
1,26,C:\Program Files\Mozilla Firefox\default-browser-agent.exe,2023-07-06 23:10:21+00:00,Yes,False,win7_files\SYSTEM
2,2,C:\Program Files\Mozilla Firefox\firefox.exe,2023-07-06 23:10:21+00:00,Yes,True,win7_files\SYSTEM
2,1,C:\Program Files\Mozilla Firefox\private_browsing.exe,2023-07-06 23:10:21+00:00,No,True,win7_files\SYSTEM
1,37,C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe,2023-07-06 23:10:21+00:00,Yes,False,win7_files\SYSTEM
2,26,C:\Program Files\Mozilla Firefox\default-browser-agent.exe,2023-07-06 23:10:21+00:00,Yes,True,win7_files\SYSTEM
2,27,C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice_tmp.exe,2023-07-06 23:10:21+00:00,Yes,True,win7_files\SYSTEM
2,28,C:\Program Files\Mozilla Firefox\maintenanceservice_installer.exe,2023-07-06 23:10:21+00:00,Yes,True,win7_files\SYSTEM
2,36,C:\Program Files (x86)\Mozilla Maintenance Service\update\updater.exe,2023-07-06 23:10:21+00:00,Yes,True,win7_files\SYSTEM
1,28,C:\Program Files\Mozilla Firefox\maintenanceservice_installer.exe,2023-07-06 23:10:21+00:00,Yes,False,win7_files\SYSTEM
1,27,C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice_tmp.exe,2023-07-06 23:10:21+00:00,Yes,False,win7_files\SYSTEM
2,37,C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe,2023-07-06 23:10:21+00:00,Yes,True,win7_files\SYSTEM
2,38,C:\Program Files\Mozilla Firefox\updater.exe,2023-07-06 23:10:21+00:00,Yes,True,win7_files\SYSTEM
2,32,C:\Users\student\AppData\Local\Temp\7zS0B4F2282\setup.exe,2023-07-06 23:10:22+00:00,Yes,True,win7_files\SYSTEM
1,32,C:\Users\student\AppData\Local\Temp\7zS0B4F2282\setup.exe,2023-07-06 23:10:22+00:00,Yes,False,win7_files\SYSTEM
1,74,C:\Users\student\Desktop\Victim-Target\7z2405-x64.exe,2025-01-19 21:21:00+00:00,No,False,win7_files\SYSTEM
1,72,C:\Users\student\Desktop\Victim-Target\AccessData_FTK_Imager_4.7.1.exe,2025-01-19 21:21:00+00:00,No,False,win7_files\SYSTEM
2,72,C:\Users\student\Desktop\Victim-Target\AccessData_FTK_Imager_4.7.1.exe,2025-01-19 21:21:00+00:00,No,True,win7_files\SYSTEM
2,74,C:\Users\student\Desktop\Victim-Target\7z2405-x64.exe,2025-01-19 21:21:00+00:00,No,True,win7_files\SYSTEM
1,71,C:\Users\student\Desktop\Victim-Target\python-3.7.0-amd64.exe,2025-01-19 21:22:00+00:00,No,False,win7_files\SYSTEM
1,70,C:\Users\student\Desktop\Victim-Target\python-3.12.3-amd64.exe,2025-01-19 21:22:00+00:00,No,False,win7_files\SYSTEM
2,70,C:\Users\student\Desktop\Victim-Target\python-3.12.3-amd64.exe,2025-01-19 21:22:00+00:00,No,True,win7_files\SYSTEM
2,71,C:\Users\student\Desktop\Victim-Target\python-3.7.0-amd64.exe,2025-01-19 21:22:00+00:00,No,True,win7_files\SYSTEM
1,73,C:\Users\student\Desktop\Victim-Target\winrar-x64-701.exe,2025-01-19 21:23:00+00:00,No,False,win7_files\SYSTEM
2,73,C:\Users\student\Desktop\Victim-Target\winrar-x64-701.exe,2025-01-19 21:23:00+00:00,No,True,win7_files\SYSTEM
2,34,C:\Users\student\Documents\Firefox Setup 115.0.1.exe,2025-01-21 13:01:26+00:00,Yes,True,win7_files\SYSTEM
1,34,C:\Users\student\Documents\Firefox Setup 115.0.1.exe,2025-01-21 13:01:26+00:00,Yes,False,win7_files\SYSTEM
